#字,全等,語義交疊,簡體,繁體
㐀,,丘,,
㐅,,五,,
㐫,,凶,,
㐮,,襄,,
㐯,,庸,,
㐱,,鬒,,
㐴,,攀,,
㐽,,,,偑
㑁,,𠭴,,
㑄,,侮,,
㑇,,,,㑳
㑈,,,,倲
㑌,,尩,,
㑔,,,,㑯
㑝,,𢙱,,
㑩,,,,儸
㑯,,,㑔,
㑳,,,㑇,
㒇,,儛,,
㒋,,廝厮,,
㒓,,,𠉂,
㒚,,穩,,
㒞,,儶,,
㒰,,全,,
㒲,,財,,
㒷,,興,,
㓁,,网,,
㓟,,,,
㓥,,,,劏
㓨,,,刾,
㓮,,彫雕,,
㓷,,劓,,
㓸,,斲,,
㔉,,,,劚
㔍,,䥷,,
㔱,,斞,,
㔾,,卩,,
㕑,,厨𢊍,,
㕚,,爫爪,,
㕞,,刷,,
㖈,䎛,,,
㖊,,,,噚
㖞,,,,喎
㗖,,噉啗啖,,
㗲,,,𠵾,
㗳,,嗒,,
㘅,,啣銜,,
㘎,,,,㘚
㘚,,,㘎,
㘽,㦳,,,
㙮,,塔,,
㙳,,轗,,
㚝,,奎奞,,
㚣,,姣,,
㚯,,,,㜄
㛀,,,,媰
㛛,,娠,,
㛟,,,,𡞵
㛠,,,,𡢃
㛣,,,,㜏
㛤,,,,孋
㛿,,,,𡠹
㜄,,,㚯,
㜏,,,㛣,
㜢,,,𡞱,
㜷,,,𡝠,
㝃,,娩,,
㝛,,宿,,
㝵,,礙碍,,
㞐,,居,,
㞞,,,𪨊,
㟆,,,,㠏
㟗,,邠豳,,
㟜,,,,𡾱
㠊,,嶇,,
㠏,,,㟆,
㠯,,以,,
㠶,,帆,,
㡘,,𢅏,,
㡿,,斥,,
㢝,,,𢋈,
㣶,,邅,,
㣺,,心,,
㣼,,忍,,
㤒,,笨,,
㤘,,,,㥮
㤵,,慈,,
㥃,,懣悶,,
㥮,,,㤘,
㥵,,慁,,
㦎,,,𢛯,
㦧,,憯,,
㦳,㘽,,,
㧃,,收,,
㧏,,,,掆
㧐,,,,㩳
㧑,,,,撝
㧖,,扼搤,,
㧜,,擸,,
㧟,,,,擓
㧰,,,,擽
㨉,,抿,,
㨨,,㩅,,
㨫,,,,㩜
㨼,,撂,,
㩁,,搉,,
㩅,,㨨,,
㩜,,擥攬,㨫,
㩳,,,㧐,
㩹,,𢶣,,
㪅,,更,,
㪯,,舉,,
㫃,,偃,,
㫚,,昒,,
㬅,,曼,,
㬱,,朁,,
㬹,,踭,,
㭎,,,,棡
㭏,,,,椲
㭣,,,,𣙎
㭤,,,,樢
㭨,,椰,,
㭴,,,,樫
㮣,,槩槪,,
㯃,,桼漆,,
㯭,,樐櫓,,
㯶,,棕,,
㯽,,檳,,
㰍,,櫳,,
㱩,,,,殰
㱮,,,,殨
㱿,,壳殼,,
㲒,,勽,,
㲓,,毧,,
㲿,,,,瀇
