#字,其他異體
値,直
僩,僴
僴,僩
儧,儹
儹,儧
冊,𠕁
𠕁,冊
凚,澿
刊,刋
刋,刊
劖,𠠥
𠠥,劖
㔧,勴𠣊
㔧,勴𠣊
㔧,勴𠣊
卺,巹
厯,歴歷
𠯍,呥
呥,𠯍
呰,啙
啙,呰
喣,煦
噑,嘷
嘷,噑
坁,坻
坻,坁
埾,𡒍
堇,蓳
𡒍,埾
夃,𡕔
𡕔,夃
夐,𡕷
𡕷,敻夐
㚟,𤟭
嬃,𡡓
嬎,嬔娩
嬔,嬎娩
娩,嬎嬔
𡡓,嬃
嬪,𡣕
𡣕,嬪
嬽,𡣬
𡣬,嬽
宊,突
宓,虙
𡨚,寃
寃,𡨚
㝾,𡯛
𡯛,㝾
巀,嶻
嶻,巀
巹,卺𢬬
幂,冪
𢄐,幪
幪,𢄐
𢆍,臿
㡳,底
底,㡳
㢥,戙
弥,𢏏
𢏏,弥彌
彌,𢏏
𢙣,悪惡
悪,𢙣
悫,𢡱
惡,𢙣
惷,憃
愨,𢡱
慤,𢡱
慹,𢟯
憃,惷
𢟯,慹
𢡱,悫愨慤
戙,㢥
戟,㦸
㦸,戟𢧢
𢧢,㦸
𢬬,巹
撊,𢵧
𢵧,撊
敋,𢼛
𢼛,敋
敓,𭣳
敜,𣣈
敱,敳
敳,敱
敺,𢿛
敻,𡕷
𢿛,敺驅
𣀮,𭤑𥀶
𣀮,𭤑𥀶
𣀮,𭤑𥀶
斷,𣃔
𣃔,斷
昝,𭨚
晥,皖
枏,柟
柟,枏
柹,𣐈
𣐈,柹
榴,橊
槱,梄楢
梄,楢槱
楢,槱梄
𣙤,𣚘
橊,榴
𣚘,𣙤
檃,𨽌
㰱,歃
𣣈,敜
歃,㰱
歴,厯
歷,厯
㱿,𣪊
𣪊,㱿
毄,軗
淄,湽
湽,淄
澂,瀓
澗,㵎
㵎,澗
𣿂,瀡
澿,凚
瀓,澂
㵾,𩇟
瀡,𣿂
