#字 karlgren lixpyangkueh yanglik cjupyapkau liukcjihyoi tungxdungghua lixyeng zjeuhyengphyon drienghtriangzjangpyang phuanngohyon pulleyblank
幫 p p p p p p p p p p p
滂 pʰ pʰ pʰ pʰ pʰ pʰ pʰ pʰ pʰ pʰ pʰ
並 bʱ b b b b bʱ b b b b b
明 m m m m m m m m m m m
端 t t t t t t t t t t t
透 tʰ tʰ tʰ tʰ tʰ tʰ tʰ tʰ tʰ tʰ tʰ
定 dʱ d d d d dʱ d d d d d
泥 n n n n n n n n n n n
知 ȶ ʈ ȶ ʈ ȶ ȶ ȶ ȶ ʈ ʈ ʈ
徹 ȶʰ ʈʰ ȶʰ ʈʰ ȶʰ ȶʰ ȶʰ ȶʰ ʈʰ ʈʰ ʈʰ
澄 ȡʱ ɖ ȡ ɖ ȡ ȡʱ ȡ ȡ ɖ ɖ ɖ
孃 ȵ ɳ n ɳ n n n n ɳ ɳ ɳ
精 ts ts ts ts ts ts ts ts ts ts ts
清 tsʰ tsʰ tsʰ tsʰ tsʰ tsʰ tsʰ tsʰ tsʰ tsʰ tsʰ
從 dzʱ dz dz dz dz dzʱ dz dz dz dz dz
心 s s s s s s s s s s s
邪 z z z z z z z z z z z
莊 tʂ tʂ tʃ tʂ tʃ tʃ tʃ tʃ tʃ tʂ tʂ
初 tʂʰ tʂʰ tʃʰ tʂʰ tʃʰ tʃʰ tʃʰ tʃʰ tʃʰ tʂʰ tʂʰ
崇 dʐʱ dʐ dʒ dʐ dʒ dʒʱ dʒ dʒ dʒ dʐ dʐ
生 ʂ ʂ ʃ ʂ ʃ ʃ ʃ ʃ ʃ ʃ ʂ
俟 dʐʱ dʐ ʒ ʐ dʑ ʒ ʒ ʒ ʒ ʐ ʐ
章 tɕ tɕ tɕ tɕ tɕ tɕ tɕ tɕ tɕ tɕ c
昌 tɕʰ tɕʰ tɕʰ tɕʰ tɕʰ tɕʰ tɕʰ tɕʰ tɕʰ tɕʰ cʰ
常 ʑ ʑ ʑ dʑ ʑ ʑ ʑ dʑ dʑ dʑ dʑ
書 ɕ ɕ ɕ ɕ ɕ ɕ ɕ ɕ ɕ ɕ ɕ
船 dʑʱ dʑ dʑ ʑ dʑ dʑʰ dʑ ʑ ʑ ʑ ʑ
見 k k k k k k k k k k k
溪 kʰ kʰ kʰ kʰ kʰ kʰ kʰ kʰ kʰ kʰ kʰ
羣 ɡʱ gʱ ɡ g ɡ gʱ ɡ ɡ ɡ ɡ g
疑 ŋ ŋ ŋ ŋ ŋ ŋ ŋ ŋ ŋ ŋ ŋ
曉 x x x x x x x x h h h
匣 ɣ ɣ ɣ ɣ ɣ ɣ ɣ ɣ ɦ ɦ ɦ
影 ʔ ʔ  ʔ  ʔ ʔ ʔ ʔ ʔ ʔ
云 j  ɣ j ɣ ɣ ɣ ɣ ɦ ɦ ɦ
以  j j  j    j j j
來 l l l l l l l l l l l
日 ȵʑ ȵʑ ȵʑ ȵʑ ȵʑ ȵ ȵ ȵʑ ȵ ȵ ȵ
