#序號 推導中州音 推導普通話
1 tuŋ dong1
2 tʱuŋ˩ tong2
3 tʃyuŋ zhong1
4 tʃʱyuŋ˩ chong2
5 tʃyuŋ zhong1
6 tʃʰyuŋ chong1
7 ʈʂʱuŋ˩ chong2
8 syuŋ song1
9 ʒyuŋ˩ rong2
10 kyuŋ jiong1
11 jyuŋ˩ yong2
12 jyuŋ˩ yong2
13 muŋ˩ meng2
14 kʰyuŋ qiong1
15 kʱyuŋ˩ qiong2
16 fʱuŋ˩ feng2
17 fuŋ feng1
18 fuŋ feng1
19 tʃʰyuŋ chong1
20 lyuŋ˩ long2
21 kʰuŋ kong1
22 kuŋ gong1
23 muŋ˩ meng2
24 luŋ˩ long2
25 ɦuŋ˩ hong2
26 tsʱuŋ˩ cong2
27 ʔuŋ weng1
28 tsʰuŋ cong1
29 tʰuŋ tong1
30 tsuŋ zong1
31 pʱuŋ˩ peng2
32 huŋ hong1
33 ŋuŋ˩ weng2
34 suŋ song1
35 tuŋ dong1
36 tʱuŋ˩ tong2
37 tsʱuŋ˩ cong2
38 nuŋ˩ nong2
39 kuŋ gong1
40 ɦuŋ˩ hong2
41 luŋ˩ long2
42 tsuŋ zong1
43 suŋ song1
44 tʰuŋ tong1
45 tʃyuŋ zhong1
46 lyuŋ˩ long2
47 ʃyuŋ shong1
48 sʱyuŋ˩ song2
49 tʃʰyuŋ chong1
50 jyuŋ˩ yong2
51 fuŋ feng1
52 hyuŋ xiong1
53 (ŋ)yuŋ˩ yong2
54 ʔyuŋ yong1
55 nyuŋ˩ nong2
56 tʃʱyuŋ˩ chong2
57 tsʱyuŋ˩ cong2
58 tʃʰyuŋ chong1
59 fʱuŋ˩ feng2
60 fuŋ feng1
61 tsyuŋ zong1
62 ʒyuŋ˩ rong2
63 kʱyuŋ˩ qiong2
64 ʃʱyuŋ˩/ʒyuŋ˩ chong2
65 kyuŋ jiong1
66 syuŋ song1
67 tsʰyuŋ cong1
68 kʰyuŋ qiong1
69 kiɑŋ jiang1
70 mɑŋ˩ mang2
71 nɑŋ˩ nang2
72 ʈʂʰwɑŋ chuang1
73 pɑŋ bang1
74 ɦiɑŋ˩ xiang2
75 pʰɑŋ pang1
76 lɑŋ˩ lang2
77 ʂwɑŋ shuang1
78 pʱɑŋ˩ pang2
79 hiɑŋ xiang1
80 ʔiɑŋ yang1
81 kʰiɑŋ qiang1
82 ʈʂʱwɑŋ˩ chuang2
83 ʈʂʰwɑŋ chuang1
84 ʈʂwɑŋ zhuang1
85 (ŋ)iɑŋ˩ yang2
86 ʈʂʱwɑŋ˩ chuang2
87 tʃiɨ zhi1
88 ji˩ yi2
89 ui˩ wei2
90 kui gui1
91 hui hui1
92 ʔui wei1
93 mi˩ mi2
94 hui hui1
95 ʈʂʱui˩ chui2
96 ʈʂʱui˩ chui2
97 lui˩ lei2
98 ʈʂʰui chui1
99 pʰi pi1
100 pi bi1
101 sʱui˩ sui2
102 kʰui kui1
103 kʰui kui1
104 kʱi˩ qi2
105 kʱi˩ qi2
106 hi xi1
107 kʰi qi1
108 (ŋ)i˩ yi2
109 pʱi˩ pi2
110 ʃʱiɨ˩ chi2
111 ɻ˩ er2
112 li˩ li2
113 tsʱɨ˩ ci2
114 tsɨ zi1
115 ki ji1
116 pi bi1
117 pʱi˩ pi2
118 ʃiɨ shi1
119 sɨ si1
120 ʈʂʰɨ chi1
121 tʃʰi chi1
122 mi˩ mi2
123 tsʰɨ ci1
124 tʃi zhi1
125 ʔi yi1
126 tʃʱi˩ chi2
127 sui sui1
128 ŋui˩ wei2
129 hi xi1
130 ʂɨ shi1
131 ʂui shuai1
132 ʒui˩ rui2
133 tsɨ zi1
134 kui gui1
135 tsui zui1
136 ʈʂʰui/tsʰui chuai1
137 ʈʂui zhui1
138 tsui zui1
139 tʃʰiɨ chi1
140 ʈʂɨ zhi1
141 pʰi pi1
142 ui˩ wei2
143 ʈʂʱɨ˩ chi2
144 tʃiɨ zhi1
145 ji˩ yi2
146 ʂɨ shi1
147 pʱi˩ pi2
148 tsɨ zi1
149 ki ji1
150 tʃʰiɨ chi1
151 tʃʰi chi1
152 tsʰɨ ci1
153 tsʱɨ˩ ci2
154 ni˩ ni2
155 tʃʱi˩ chi2
156 sɨ si1
157 ʃiɨ shi1
158 kʱi˩ qi2
159 ʔi yi1
160 li˩ li2
161 kʱui˩ kui2
162 ʈʂui zhui1
163 kui gui1
164 ʒui˩ rui2
165 ʂui shuai1
166 ui˩ wei2
167 lui˩ lei2
168 sui sui1
169 kʱui˩ kui2
170 mi˩ mi2
171 pi bi1
172 ʈʂui zhui1
