#序號 古韻 有女 Baxter
1 tung tung tuwng
2 dung dung duwng
3 triung tiung trjuwng
4 driung diung drjuwng
5 cjung tjung tsyuwng
6 thriung thiung trhjuwng
7 zriung drung dzrjuwng
8 siung siung sjuwng
9 njung rung nyuwng
10 kiung kiung kjuwng
11 jung jung yuwng
12 iung hiung hjuwng
13 miung miung mjuwng
14 khiung qiung khjuwng
15 giung giung gjuwng
16 biung biung bjuwng
17 piung piung pjuwng
18 phiung phiung phjuwng
19 chjung tcung tsyhuwng
20 liung liung ljuwng
21 khung qung khuwng
22 kung kung kuwng
23 mung mung muwng
24 lung lung luwng
25 ghung hung huwng
26 zung dzung dzuwng
27 qung ung 'uwng
28 chung cung tshuwng
29 thung thung thuwng
30 cung zung tsuwng
31 bung bung buwng
32 hung xung xuwng
33 ngung ngung nguwng
34 sung sung suwng
35 tuung tvng towng
36 duung dvng downg
37 zuung dzvng dzowng
38 nuung nvng nowng
39 kuung kvng kowng
40 ghuung hvng howng
41 luung lvng lowng
42 cuung zvng tsowng
43 suung svng sowng
44 thuung thvng thowng
45 cjyung tjvng tsyowng
46 lyung livng ljowng
47 sjyung sjvng syowng
48 zsyung szivng zjowng
49 chjyung tcvng tsyhowng
50 jyung jvng yowng
51 pyung pivng pjowng
52 hyung xivng xjowng
53 ngyung ngivng ngjowng
54 qyung ivng 'jowng
55 nryung nivng nrjowng
56 dryung divng drjowng
57 zyung dzivng dzjowng
58 thryung thivng trhjowng
59 byung bivng bjowng
60 phyung phivng phjowng
61 cyung zivng tsjowng
62 njyung rvng nyowng
63 gyung givng gjowng
64 zjyung zjvng dzyowng
65 kyung kivng kjowng
66 syung sivng sjowng
67 chyung civng tshjowng
68 khyung qivng khjowng
69 krung keong kaewng
70 mrung meong maewng
71 nrung neong nraewng
72 chrung cheong tsrhaewng
73 prung peong paewng
74 ghrung heong haewng
75 phrung pheong phaewng
76 lrung leong laewng
77 srung sheong sraewng
78 brung beong baewng
79 hrung xeong xaewng
80 qrung eong 'aewng
81 khrung qeong khaewng
82 drung deong draewng
83 thrung theong trhaewng
84 trung teong traewng
85 ngrung ngeong ngaewng
86 zrung dreong dzraewng
87 cje tje tsye
88 je je ye
89 ye hwe hjwe
90 kye kwe kjwe
91 hye xwe xjwe
92 qye we 'jwe
93 mie mye mje
94 hjye xve xjwie
95 drye dwe drjwe
96 zjye zjve dzywe
97 lye lve ljwe
98 chjye tcve tsyhwe
99 phie phye phje
100 pie pye pje
101 zsye szve zjwe
102 khye qwe khjwe
103 khjye qve khjwie
104 gie gye gje
105 gje gie gjie
106 hie xye xje
107 khie qye khje
108 ngie ngye ngje
109 bie bye bje
110 zje zje dzye
111 nje re nye
112 lie lie lje
113 zie dzie dzje
114 cie zie tsje
115 kie kye kje
116 pje pie pjie
117 bje bie bjie
118 sje sje sye
119 sie sie sje
120 chrie chye tsrhje
121 thrie thye trhje
122 mje mie mjie
123 chie cie tshje
124 trie tye trje
125 qie ye 'je
126 drie dye drje
127 sye sve sjwe
128 ngye ngwe ngjwe
129 hje xie xjie
130 srie shye srje
131 srye shwe srjwe
132 njye rve nywe
133 cie zie tsje
134 kjye kve kjwie
135 cye zve tsjwe
136 chrye chwe tsrhjwe
137 trye twe trjwe
138 cye zve tsjwe
139 chje tce tsyhe
140 crie trye tsrje
141 phje phie phjie
142 jye jve ywe
143 zrie drye dzrje
144 cjii tji tsyij
145 jii ji yij
146 srii shy srij
147 bjii bi bjij
148 cii zi tsij
149 kii ky kij
150 chjii tci tsyhij
151 thrii thy trhij
152 chii ci tshij
153 zii dzi dzij
154 nrii ny nrij
155 drii dy drij
156 sii si sij
157 sjii sji syij
158 gii gy gij
159 qjii i 'jij
160 lii li lij
161 gjyi gvi gjwij
162 tryi twy trwij
163 kyi kwy kwij
164 njyi rvi nywij
165 sryi shwy srwij
166 jyi jvi ywij
167 lyi lvi lwij
168 syi svi swij
169 gyi gwy gwij
170 mii my mij
171 pii py pij
172 cjyi tjvi tsywij
173 zjyi zjvi dzywij
174 yi hwy hwij
175 bii by bij
176 phii phy phij
177 hjyi xvi xjwij
178 dryi dwy drwij
179 chjyi tcvi tsyhwij
180 trii ty trij
181 phjii phi phjij
182 cyi zvi tswij
183 khyi qwy khwij
184 ngii ngy ngij
185 hjii xi xjij
186 cji tjio tsyi
187 ji jio yi
188 zji zjio dzyi
189 ngi ngio ngi
190 si sio si
191 chri chio tsrhi
192 gi gio gi
193 sji sjio syi
194 nji rio nyi
195 khi qio khi
196 ki kio ki
197 zsi szio zi
198 li lio li
199 cri trio tsri
200 hi xio xi
201 qi io 'i
202 thri thio trhi
203 dri dio dri
204 chji tcio tsyhi
205 zi dzio dzi
206 ci zio tsi
207 zri drio dzri
208 zsri zhio zri
209 khi qio khi
210 sji sjio syi
211 myoi mvoi mj+j
212 hyoi xvoi xjw+j
213 yoi hvoi hjw+j
214 phyoi phvoi phj+j
215 pyoi pvoi pj+j
216 byoi bvoi bj+j
217 qyoi voi 'jw+j
218 gioi gioi gj+j
219 kioi kioi kj+j
220 hioi xioi xj+j
221 qioi ioi 'j+j
222 ngioi ngioi ngj+j
223 ngyoi ngvoi ngjw+j
224 kyoi kvoi kjw+j
225 khyoi qvoi khjw+j
226 ngio ngiv ngjo
227 chrio chv tsrhjo
228 sjo sjv syo
229 kio kiv kjo
230 gio giv gjo
231 jo jv yo
232 sio siv sjo
233 chio civ tshjo
234 zrio drv dzrjo
235 thrio thiv trhjo
236 srio shv srjo
237 hio xiv xjo
238 zsio sziv zjo
239 qio iv 'jo
240 trio tiv trjo
241 lio liv ljo
242 cjo tjv tsyo
243 drio div drjo
244 njo rv nyo
245 cio ziv tsjo
246 khio qiv khjo
247 crio trv tsrjo
248 zjo zjv dzyo
249 nrio niv nrjo
250 ngyo ngiu ngju
251 chryo chu tsrhju
252 myo miu mju
253 yo hiu hju
254 hyo xiu xju
255 gyo giu gju
256 njyo ru nyu
257 syo siu sju
258 tryo tiu trju
259 thryo thiu trhju
260 zjyo zju dzyu
261 jyo ju yu
262 khyo qiu khju
263 cjyo tju tsyu
264 chyo ciu tshju
265 lyo liu lju
266 byo biu bju
267 zryo dru dzrju
268 cryo tru tsrju
269 phyo phiu phju
270 cyo ziu tsju
271 pyo piu pju
272 qyo iu 'ju
273 sjyo sju syu
274 chjyo tcu tsyhu
275 dryo diu drju
276 kyo kiu kju
277 sryo shu srju
278 mo mu mu
279 bo bu bu
280 gho hu hu
281 ko ku ku
282 do du du
283 no nu nu
284 ho xu xu
285 ngo ngu ngu
286 co zu tsu
287 lo lu lu
288 so su su
289 zo dzu dzu
290 qo u 'u
291 po pu pu
292 kho qu khu
293 cho cu tshu
294 tho thu thu
295 to tu tu
296 pho phu phu
297 ze dzei dzej
298 le lei lej
299 che cei tshej
300 te tei tej
301 de dei dej
302 pe pei pej
303 ke kei kej
304 ghe hei hej
305 qe ei 'ej
306 nge ngei ngej
307 he xei xej
308 se sei sej
309 the thei thej
310 be bei bej
311 phe phei phej
312 ce zei tsej
313 me mei mej
314 ne nei nej
315 khe qei khej
316 kue kuei kwej
317 khue quei khwej
318 ghue huei hwej
319 nj'e rei nyej
320 zj'e zjei dzyej
321 que uei 'wej
322 hue xuei xwej
323 kre kae kea
324 ghre hae hea
325 bre bae bea
326 krue koe kwea
327 qrue oe 'wea
328 khrue qoe khwea
329 zre drae dzrea
330 chre chae tsrhea
331 hrue xoe xwea
332 nre nae nrea
333 ngre ngae ngea
334 qre ae 'ea
335 sre shae srea
336 hre xae xea
337 thre thae trhea
338 mre mae mea
