#韻目 韻系 聲調 廣韻目次
東 東 1 東
董 東 2 董
送 東 3 送
屋 東 4 屋
冬 冬 1 冬
湩 冬 2 腫
宋 冬 3 宋
沃 冬 4 沃
鍾 鍾 1 鍾
腫 鍾 2 腫
用 鍾 3 用
燭 鍾 4 燭
江 江 1 江
講 江 2 講
絳 江 3 絳
覺 江 4 覺
支 支 1 支
紙 支 2 紙
寘 支 3 寘
支A 支A 1 支
紙A 支A 2 紙
寘A 支A 3 寘
支B 支B 1 支
紙B 支B 2 紙
寘B 支B 3 寘
脂 脂 1 脂
旨 脂 2 旨
至 脂 3 至
脂A 脂A 1 脂
旨A 脂A 2 旨
至A 脂A 3 至
脂B 脂B 1 脂
旨B 脂B 2 旨
至B 脂B 3 至
之 之 1 之
止 之 2 止
志 之 3 志
微 微 1 微
尾 微 2 尾
未 微 3 未
魚 魚 1 魚
語 魚 2 語
御 魚 3 御
虞 虞 1 虞
麌 虞 2 麌
遇 虞 3 遇
模 模 1 模
姥 模 2 姥
暮 模 3 暮
齊 齊 1 齊
薺 齊 2 薺
霽 齊 3 霽
祭 祭 3 祭
祭A 祭A 3 祭
祭B 祭B 3 祭
泰 泰 3 泰
佳 佳 1 佳
蟹 佳 2 蟹
卦 佳 3 卦
皆 皆 1 皆
駭 皆 2 駭
怪 皆 3 怪
夬 夬 3 夬
灰 灰 1 灰
賄 灰 2 賄
隊 灰 3 隊
咍 咍 1 咍
海 咍 2 海
代 咍 3 代
廢 廢 3 廢
眞 眞 1 眞
軫 眞 2 軫
震 眞 3 震
質 眞 4 質
眞A 眞A 1 眞
軫A 眞A 2 軫
震A 眞A 3 震
質A 眞A 4 質
眞B 眞B 1 眞
軫B 眞B 2 軫
震B 眞B 3 震
質B 眞B 4 質
諄 諄 1 諄
準 諄 2 準
稕 諄 3 稕
術 諄 4 術
諄A 諄A 1 諄
準A 諄A 2 準
稕A 諄A 3 稕
術A 諄A 4 術
臻 臻 1 臻
𧤛 臻 2 隱
櫬 臻 3 震
櫛 臻 4 櫛
文 文 1 文
吻 文 2 吻
問 文 3 問
物 文 4 物
欣 欣 1 欣
隱 欣 2 隱
焮 欣 3 焮
迄 欣 4 迄
元 元 1 元
阮 元 2 阮
願 元 3 願
月 元 4 月
魂 魂 1 魂
混 魂 2 混
慁 魂 3 慁
沒 魂 4 沒
痕 痕 1 痕
很 痕 2 很
恨 痕 3 恨
麧 痕 4 沒
寒 寒 1 寒
旱 寒 2 旱
翰 寒 3 翰
曷 寒 4 曷
