#韻母 karlgren yanglik lixyeng zjeuhyengphyon drienghtriangzjangpyang phuanngohyon pulleyblank
東一 uŋ uŋ uŋ uŋ uŋ uŋ əwŋ
東三 i̯uŋ ĭuŋ iuŋ iuŋ ɨuŋ iuŋ uwŋ
屋一 uk uk uk uk uk uk əwk
屋三 i̯uk ĭuk iuk iuk ɨuk iuk uwk
冬 uoŋ uoŋ oŋ oŋ uoŋ uoŋ awŋ
沃 uok uok ok ok uok uok awk
鍾 i̯woŋ ĭwoŋ ioŋ ioŋ ɨoŋ ioŋ uawŋ
燭 i̯wok ĭwok iok iok ɨok iok uawk
江 ɔŋ ɔŋ ɔŋ ɔŋ ɣʌŋ ɯɔŋ aɨwŋ
覺 ɔk ɔk ɔk ɔk ɣʌk ɯɔk aɨwŋk
支開 ie̯ ǐe ie iɛ iᴇ iɛ iə̆
支合 wie̯ ǐwe iue iuɛ iuᴇ ʷiɛ wiə̆
支A開 ie̯ ǐe ie jɛ iᴇ iɛ iə̆
支A合 wie̯ ǐwe iue juɛ iuᴇ ʷiɛ wiə̆
支B開 ie̯ ǐe je iɛ ɣiᴇ ɯiɛ jiə̆
支B合 wie̯ ǐwe jue iuɛ ɣiuᴇ ʷɯiɛ jwiə̆
脂開 i i i iɪ iɪ i i
脂合 wi wi ui iuɪ iuɪ ʷi wi
脂A開 i i i jɪ iɪ i i
脂A合 wi wi ui juɪ iuɪ ʷi wi
脂B開 i i ji iɪ ɣiɪ ɯi ji
脂B合 wi wi jui iuɪ ɣiuɪ ʷɯi jwi
之 i ĭə iə ie ɨ ɨ ɨ
微開 e̯i ĭəi iəi iəi ɨi ɨi ɨj
微合 we̯i ĭwəi iuəi iuəi ʉi ʷɨi uj
魚 i̯wo ĭo iɔ iɔ ɨʌ iɔ ɨə̆
模 uo u o o uo uo ɔ
虞 i̯u ĭu io io ɨo io uə̆
泰開 ɑi ɑi ɑi ɑi ɑi ɑi aj
泰合 wɑi uɑi uɑi uɑi uɑi ʷɑi waj
廢開 i̯ɐi ĭɐi iɐi iɐi ɨɐi iɐi ɨaj
廢合 i̯wɐi ĭwɐi iuɐi iuɐi ʉɐi ʷiɐi uaj
夬開 ai æi ai ai ɣai ɯai aɨjs
夬合 wai wæi uai uai ɣuai ʷɯai waɨjs
佳開 ai ai ɛ æi ɣɛ ɯæ aɨj
佳合 wai wai uɛ uæi ɣuɛ ʷɯæ waɨj
皆開 ăi ɐi ɛi ɐi ɣɛi ɯæi əɨj
皆合 wăi wɐi uɛi uɐi ɣuɛi ʷɯæi wəɨj
祭開 i̯ɛi ĭɛi iɛi iæi iᴇi iɛi iaj
祭合 i̯wɛi ĭwɛi iuɛi iuæi iuᴇi ʷiei wiaj
祭A開 i̯ɛi ĭɛi iɛi jæi iᴇi iɛi iaj
祭A合 i̯wɛi ĭwɛi iuɛi juæi iuᴇi ʷiɛi wiaj
祭B開 i̯ɛi ĭɛi jɛi iæi ɣiᴇi ɯiɛi jiaj
祭B合 i̯wɛi ĭwɛi juɛi iuæi ɣiuᴇi ʷɯiei jwiaj
齊開 iei iei ei ɛi ei ei ɛj
齊合 iwei iwei uei uɛi wei ʷei wɛj
咍 ɑ̆i ɒi ᴀi ɒi ʌi əi əj
灰 uɑ̆i uɒi uᴀi uɒi uʌi uoi wəj
眞開 i̯ĕn ǐĕn iĕn ien iɪn in in
眞合 i̯wĕn ǐuĕn iuĕn iuen iuɪn ʷin win
眞A i̯ĕn ĭĕn iĕn jen iɪn in in
眞B開 i̯ĕn ǐĕn jĕn ien ɣiɪn ɯin jin
眞B合 i̯wĕn ǐuĕn juĕn iuen ɣiuɪn ʷɯin jwin
臻 i̯æn ĭen iĕn ien ɪn ɪn in
諄 i̯uĕn ĭuĕn iuĕn iuen iuɪn ʷin win
諄A i̯uĕn ĭuĕn iuĕn juen iuɪn ʷin win
質開 i̯ĕt ĭĕt iĕt iet iɪt it it
質合 i̯wĕt ĭuĕt iuĕt iuet iuɪt ʷit wit
質A i̯ĕt ĭĕt iĕt jet iɪt it it
質B開 i̯ĕt ĭĕt jĕt iet ɣiɪt ɯit jit
質B合 i̯wĕt ĭuĕt juĕt iuet ɣiuɪt ʷɯit jwit
櫛 i̯æt ĭet iĕt iet ɪt ɪt it
術 i̯uĕt ĭuĕt iuĕt iuet iuɪt ʷit wit
術A i̯uĕt ĭuĕt iuĕt juet iuɪt ʷit wit
痕 ən ən ən ən ən ən ən
麧 ət ət ət ət ət ət ət
魂 uən uən uən uən uən uon wən
沒 uət uət uət uət uət uot wət
欣 i̯ən ĭən iən iən ɨn ɨn ɨn
迄 i̯ət ĭət iət iət ɨt ɨt ɨt
文 i̯uən ĭuən iuən iuən ɨun iun un
物 i̯uət ĭuət iuət iuət ɨut iut ut
寒 ɑn ɑn ɑn ɑn ɑn ɑn an
桓 uɑn uɑn uɑn uɑn uɑn ʷɑn wan
曷 ɑt ɑt ɑt ɑt ɑt ɑt at
末 uɑt uɑt uɑt uɑt uɑt ʷɑt wat
元開 i̯ɐn ĭɐn iɐn iɐn ɨɐn iɐn ɨan
元合 i̯wɐn ĭwɐn iuɐn iuɐn ʉɐn ʷiɐn uan
月開 i̯ɐt ĭɐt iɐt iɐt ɨɐt iɐt ɨat
月合 i̯wɐt ĭwɐt iuɐt iuɐt ʉɐt ʷiɐt uat
刪開 an an an ɐn ɣan ɯan aɨn
刪合 wan wan uan uɐn ɣuan ʷɯan waɨn
黠開 ăt at at ɐt ɣat ɯat aɨt
黠合 wăt wat uat uɐt ɣuat ʷɯat waɨt
山開 ăn æn ɛn æn ɣɛn ɯæn əɨn
山合 wăn wæn uɛn uæn ɣuɛn ʷɯæn wəɨn
鎋開 at æt ɛt æt ɣɛt ɯæt əɨt
鎋合 wat wæt uɛt uæt ɣuɛt ʷɯæt wəɨt
仙開 i̯ɛn ĭɛn iɛn iæn iᴇn iɛn ian
仙合 i̯wɛn ĭwɛn iuɛn iuæn iuᴇn ʷiɛn wian
仙A開 i̯ɛn ĭɛn iɛn jæn iᴇn iɛn ian
仙A合 i̯wɛn ĭwɛn iuɛn juæn iuᴇn ʷiɛn wian
仙B開 i̯ɛn ĭɛn jɛn iæn ɣiᴇn ɯiɛn ian
仙B合 i̯wɛn ĭwɛn juɛn iuæn ɣiuᴇn ʷɯiɛn wian
薛開 i̯ɛt ĭɛt iɛt iæt iᴇt iɛt iat
薛合 i̯wɛt ĭuɛt iuɛt iuæt iuᴇt ʷiet wiat
薛A開 i̯ɛt ĭɛt iɛt jæt iᴇt iɛt iat
薛A合 i̯wɛt ĭuɛt iuɛt juæt iuᴇt ʷiɛt wiat
薛B開 i̯ɛt ĭɛt jɛt iæt ɣiᴇt ɯiɛt iat
薛B合 i̯wɛt ĭuɛt juɛt iuæt ɣiuᴇt ʷɯiet wiat
先開 ien ien en ɛn en en ɛn
先合 iwen iwen uen uɛn wen ʷen wɛn
屑開 iet iet et ɛt et et ɛt
屑合 iwet iwet uet uɛt wet ʷet wɛt
豪 ɑu ɑu ɑu ɑu ɑu ɑu aw
肴 au au au au ɣau ɯau aɨw
宵 i̯ɛu ĭɛu iɛu iæu iᴇu iɛu iaw
宵A i̯ɛu ĭɛu iɛu jæu iᴇu iɛu iaw
宵B i̯ɛu ĭɛu jɛu iæu ɣiᴇu ɯiɛu iaw
蕭 ieu ieu eu eu eu eu ɛw
歌 ɑ ɑ ɑ ɑ ɑ ɑ a
戈一合 uɑ uɑ uɑ uɑ uɑ uɑ wa
戈三開 i̯ɑ ǐɑ iɑ iɑ ɨɑ iɑ ɨa
戈三合 i̯uɑ ĭuɑ iuɑ iuɑ ɨuɑ ʷiɑ ua
麻二開 a a a a ɣa ɯa aɨ
麻二合 wa wa ua ua ɣua ʷɯa waɨ
麻三開 i̯a ĭa ia ia ia ia ia
唐開 ɑŋ ɑŋ ɑŋ ɑŋ ɑŋ ɑŋ aŋ
唐合 wɑŋ uɑŋ uɑŋ uɑŋ wɑŋ ʷɑŋ waŋ
鐸開 ɑk ɑk ɑk ɑk ɑk ɑk ak
鐸合 wɑk uɑk uɑk uɑk wɑk ʷɑk wak
陽開 i̯aŋ ĭaŋ iaŋ iɑŋ ɨɐŋ iɐŋ ɨaŋ
陽合 i̯waŋ ĭwaŋ iuaŋ iuɑŋ ʉɐŋ ʷiɐŋ uaŋ
藥開 i̯ak ĭak iak iɑk ɨɐk iɐk ɨak
藥合 i̯wak ĭwak iuak iuɑk ʉɐk ʷiɐk uak
庚二開 ɐŋ ɐŋ ɐŋ aŋ ɣæŋ ɯaŋ aɨjŋ
