#韻母 baxter polyhedron 中州音 普通話
東一 uwng ung uŋ ong
東三 juwng iung yuŋ/uŋ ong
屋一 uwk uk uk(uʔ) u
屋三 juwk iuk yuk/uk(yuʔ/uʔ) u/ü
冬 owng uung uŋ ong
沃 owk uuk uk(uʔ) u/uo
鍾 jowng yung yuŋ iong
燭 jowk yuk yuk/uk(yuʔ/uʔ) u/ü
江 aewng rung iɑŋ/wɑŋ/ɑŋ iang/uang
覺 aewk ruk ɒk(ɒʔ/wɒʔ) ue
支開 je ie i/ɨ i/ei
支合 jwe ye ui ui
支A開 jie je i i/ei
支A合 jwie jye ui ui
支B開 je ie i i/ei
支B合 jwe ye ui ui
脂開 ij ii i/ɨ i/ei
脂合 wij yi ui ui
脂A開 jij jii i i/ei
脂A合 jwij jyi i/ui ui
脂B開 ij ii i i/ei
脂B合 wij yi ui ui
之 i i i/ɨ i/ei
微開 j+j ioi i i/ei
微合 jw+j yoi i/ui ui
魚 jo io y/u ü/u
模 u o u u
虞 ju yo y/u ü/u
泰開 aj ad ai ai
泰合 waj uad wai/ui uai/ui
廢開 joj iad iɪi(i) ei
廢合 jwoj(脣音joj) yad ui/i ui/ei
夬開 aej rad ai/iai ai
夬合 waej ruad wai uai
佳開 ea re ai/iai ai/a
佳合 wea rue wa ua
皆開 eaj rai ai/iai ie/ai
皆合 weaj ruai wai uai
祭開 jej ied iɪi(i) i/ei
祭合 jwej yed ui ui
祭A開 jiej jed iɪi(i) i/ei
祭A合 jwiei jyed ui ui
祭B開 jej ied iɪi(i) i/ei
祭B合 jwej yed ui ui
齊開 ej e iɪi(i) i
齊合 wej ue ui ui
咍 oj ai ai ai
灰 woj uai ui ui
眞開 in in in/ən in/en
眞合 win yn yun ün/un
眞A jin jin in in/en
眞B開 in in in in/en
眞B合 win yn yun ün/un
臻 in in ən in/en
諄 jwin yn yun ün/un
諄A jwin jyn yun ün/un
質開 it it it/ət(iʔ/əʔ) i
質合 wit yt yut(yʔ) i
質A jit jit it(iʔ) i
質B開 jwit it it(iʔ) i
質B合 wit yt yut(yʔ) i
櫛 it it ət(əʔ) i
術 wit yt yut/ut(yʔ/uʔ) ü
術A jwit jyt yut(yʔ) ü
痕 on on ən en
麧 ot ot ət uo
魂 won uon un un/en
沒 wot uot ut uo
欣 j+n ion in in/en
迄 j+t iot it i
文 jun yon yun/un un/en
物 jut yot yut/ut(yʔ/uʔ) u
寒 an an ɑn an
桓 wan(脣音an) uan wɔn uan
曷 at at ɔt(ɔʔ) e
末 wat(脣音at) uat wɔt(wɔʔ) uo
元開 jon ian iɛn ian
元合 jwon(脣音jon) yan yuɛn/an üan
月開 jot iat iɛt(iɛʔ) ie
月合 jwot(脣音jot) yat yuɛt(yuɛʔ) ue
刪開 aen ran an/ian ian
刪合 waen ruan wan uan
黠開 aet rat at(aʔ) ia
黠合 waet ruat wat(waʔ) ua
山開 ean ren an/ian ian/an
山合 wean ruen wan uan
鎋開 eat ret at(aʔ) a
鎋合 weat ruet wat(waʔ) ua
仙開 jen ien iɛn/an ian/an
仙合 jwen yen yuɛn/wan üan/uan
仙A開 jien jen iɛn ian/an
仙A合 jwien jyen yuɛn üan/uan
仙B開 jen ien iɛn ian/an
仙B合 jwen yen yuɛn üan/uan
薛開 jet iet iɛt/at(iɛʔ/aʔ) ie
薛合 jwet yet yuɛt/wat(yuɛʔ/waʔ) ue
薛A開 jiet jet iɛt(iɛʔ) ie/e
薛A合 jwiet jyet yuɛt(yuɛʔ) ue
薛B開 jet iet iɛt(iɛʔ) ie
薛B合 jwet yet yuɛt(yuɛʔ) ue
先開 en en iɛn ian
先合 wen uen yuɛn üan/ian
屑開 et et iɛt(iɛʔ) ie
屑合 wet uet yuɛt(yuɛʔ) ue
豪 aw au aw ao
肴 aew rau aw/iaw iao
宵 jew ieu iɛw(iaw) iao
宵A jiew jeu iɛw(iaw) iao
宵B jew ieu iɛw(iaw) iao
蕭 ew eu iɛw(iaw) iao
歌 a a ɔ e
戈一合 wa ua wɔ e/uo
戈三開 ja ia iɛ 
戈三合 jwa ya yuɛ 
麻二開 ae ra a/ia a
麻二合 wae rua wa ua
麻三開 jae ia iɛ ie
唐開 ang ang ɑŋ ang
唐合 wang uang wɑŋ uang
鐸開 ak ak ɒk(ɒʔ) e
鐸合 wak uak wɒk(wɒʔ) uo
陽開 jang iang iɑŋ/wɑŋ iang
陽合 jwang(脣音jang) yang wɑŋ uang
藥開 jak iak iɒk/wɒk(iɒʔ/wɒʔ) ue
藥合 jwak(脣音jak) yak wɒk(wɒʔ) ue
庚二開 aeng rang əŋ eng
庚二合 waeng ruang wəŋ eng
庚三開 jaeng ieng iŋ ing
庚三合 jwaeng yeng yuəŋ iong
陌二開 aek rak ək(əʔ) e
陌二合 waek ruak wək(wəʔ) uo
陌三開 jaek iek ik/ək(iʔ/əʔ) i
陌三合 jwaek yek yuək(yuəʔ) uo
耕開 eang reng əŋ ing
耕合 weang rueng wəŋ ong
麥開 eak rek ək(əʔ) e
麥合 weak ruek wək(wəʔ) uo
清開 jeng ieng iŋ ing
清合 jweng yeng yuəŋ ong
清A開 jieng jeng iŋ ing
清A合 jwieng jyeng yuəŋ ong
昔開 jek iek ik(iʔ) i
昔合 jwek yek yuək(yuəʔ) ü
昔A開 jiek jek ik(iʔ) i
昔A合 jwiek jyek yuək(yuəʔ) ü
青開 eng eng iŋ ing
青合 weng ueng yuəŋ iong
錫開 ek ek ik(iʔ) i
錫合 wek uek yuək(yuəʔ) ü
登開 ong ong əŋ eng
