#序號 字 小韻序號 頁碼
1 東 1 96
2 涷 1 96/97
3 蝀 1 97/98
4 冬 1 98
5 𩂓 1 98
6 通 2 98
7 侗 2 98/99
8 恫 2 99
9 俑 2 99
10 桐 2 99
11 蓪 2 99
12 同 3 99
13 仝 3 99
14 童 3 99
15 僮 3 99
16 侗 3 100
17 曈 3 100
18 朣 3 100
19 瞳 3 100
20 銅 3 100
21 峒 3 100
22 桐 3 100
23 橦 3 100
24 絧 3 100
25 罿 3 100
26 𦨴 3 100
27 筩 3 100
28 穜 3 101
29 種 3 101
30 重 3 101
31 潼 3 101
32 衕 3 101
33 鮦 3 101
34 犝 3 101
35 𦏆 3 101
36 酮 3 101
37 挏 3 101
38 氃 3 101
39 詷 3 101
40 㢥 3 101
41 艟 3 101
42 彤 3 101
43 㤏 3 101
44 𢥞 3 101
45 鼕 3 101
46 浵 3 101
47 龍 4 101/102
48 𪚝 4 102
49 籠 4 102
50 櫳 4 102
51 㰍 4 102
52 䆍 4 102
53 聾 4 102
54 嚨 4 102
55 曨 4 102
56 朧 4 102
57 襱 4 102
58 豅 4 102
59 瓏 4 102
60 礱 4 102
61 龐 4 102
62 蘢 4 102
63 谾 4 102
64 瀧 4 102
65 𩟭 4 102
66 隆 5 102
67 癃 5 103
68 𪔳 5 103
69 窿 5 103
70 霳 5 103
71 䃧 5 103
72 蓬 6 103
73 芃 6 103
74 篷 6 103
75 韸 6 103
76 逢 6 103
77 髼 6 103
78 菶 6 103
79 塳 6 103
80 蒙 7 103/104
81 冡 7 104
82 幪 7 104
83 𢄐 7 104
84 髳 7 104
85 濛 7 104
86 雺 7 104
87 霿 7 104
88 曚 7 104
89 朦 7 104
90 䑃 7 104
91 艨 7 104
92 矇 7 104
93 饛 7 104
94 罞 7 104
95 懵 7 104
96 夢 7 104
97 瞢 7 104
98 懜 7 104
99 悤 8 104/105
100 囱 8 105
101 忩 8 105
102 蔥 8 105
103 䡯 8 105
104 聰 8 105
105 𢊕 8 105
106 璁 8 105
107 驄 8 105
108 樅 8 105
109 鏦 8 105
110 從 8 105
111 蓯 8 105
112 宗 9 105
113 㚇 9 105
114 翪 9 105
115 騣 9 105
116 鬉 9 105
117 豵 9 105
118 猣 9 105
119 椶 9 106
120 稯 9 106
121 緵 9 106
122 總 9 106
123 摠 9 106
124 嵏 9 106
125 嵸 9 106
126 𨍈 9 106
127 鬷 9 106
128 艐 9 106
129 朡 9 106
130 葼 9 106
131 縱 10 106
132 蹤 10 106
133 樅 10 106
134 叢 11 106
135 樷 11 106
136 䕺 11 106
137 藂 11 106
138 𥵫 11 106
139 潨 11 106
140 賨 11 106/107
141 悰 11 107
142 琮 11 107
143 慒 11 107
144 淙 11 107
145 訟 11 107
146 從 12 107
147 洪 13 107
148 洚 13 107
149 紅 13 107
150 葒 13 107
151 䜫 13 107
152 谼 13 107
153 鴻 13 107/108
154 虹 13 108
155 訌 13 108
156 渱 13 108
157 鉷 13 108
158 䃔 13 108
159 𩘎 13 108
160 烘 14 108
161 空 15 108
162 悾 15 108
163 𢃐 15 108
164 椌 15 108
165 倥 15 108
166 箜 15 108
167 崆 15 108
168 𦱇 15 108
169 公 16 108/109
170 功 16 109
171 紅 16 109
172 工 16 109
173 攻 16 109
174 㓚 16 109
175 釭 16 109
176 玒 16 109
