#序 字 小韻序號 頁碼
1 臨 5 127
2 陵 5 127
3 朋 6 126/127
4 鵬 6 127
5 棚 6 127
6 鬅 6 127
7 淜 6 127
8 馮 6 127
9 彭 6 127
10 膨 6 127
11 盲 7 127
12 蝱 7 127
13 莔 7 127
14 甍 7 127
15 𣞑 7 127
16 萌 7 127
17 氓 7 127
18 甿 7 127
19 升 9 127/128
20 尊 9 128
21 橫 13 128
22 衡 13 128
23 璜 13 128
24 黌 13 128
25 彋 13 128
26 瑝 13 128
27 鍠 13 128
28 喤 13 128
29 宏 13 128
30 閎 13 128
31 紘 13 128
32 鈜 13 128
33 竑 13 128
34 谹 13 128
35 𧮯 13 128
36 肱 13 128
37 翃 13 128
38 𦐌 13 128
39 䍔 13 128
40 䡌 13 128
41 弘 13 128
42 宖 13 128
43 苰 13 128
44 鞃 13 128
45 降 13 128
46 訇 14 128
47 諻 14 128
48 渹 14 128
49 𤃫 14 128
50 薨 14 128
51 轟 14 128
52 輷 14 128
53 䎕 14 128
54 𦒃 14 128
55 𦑟 14 128
56 肱 16 128
57 厷 16 129
58 觥 16 129
59 觵 16 129
60 觪 20 129
61 騂 20 129
62 垶 20 129
63 雙 20 129
64 𢥠 20 129
65 艭 20 129
66 瀧 20 129
67 徵 22 128
68 誦 24 128
69 扃 29 129
70 坰 29 129
71 駉 29 129
72 冋 29 129
73 絅 29 129
74 頃 29 129
75 傾 29 129/130
76 瓊 30 130
77 藑 30 130
78 㷀 30 130
79 惸 30 130
80 𡞦 30 130
81 嬛 30 130
82 睘 30 130
83 禽 30 130
84 深 32 130
85 隂 34 130
86 應 34 130
87 榮 35 129
88 營 35 129
89 瀯 35 129
90 巆 35 129
91 塋 35 129
92 𤬐 35 129
93 瑩 35 129
94 蠑 35 129
95 醟 35 129
96 熒 35 129
97 螢 35 129
98 滎 35 129
99 嵤 35 129
100 濙 35 129
101 謍 35 129
102 禜 35 129
103 瀠 35 129
104 崩 2260 130
105 繃 2260 130
106 掤 2260 130
107 弸 2260 130
108 堋 2260 130
109 輣 2260 130
110 邦 2260 130/131
111 垹 2260 131
112 祊 2260 131
113 篣 2260 131
114 榜 2260 131
115 彭 2260 131
116 絣 2260 131
117 帡 2260 131
118 伻 2260 131
119 抨 2260 131
120 旁 2260 131
121 傍 2260 131
122 騯 2260 131
123 趽 2261 131
124 搒 2261 131
125 烹 2261 131
126 亨 2261 131
127 磅 2261 131
128 軿 2261 131
129 澎 2261 131
130 滂 2261 131
131 砰 2261 131
132 硑 2261 131
133 匉 2261 131
134 怦 2261 131
135 軯 2261 131
136 駍 2261 131
137 閛 2261 131
138 荓 2261 131
139 厔 36 173
140 試 38 173
141 哉 44 173
142 災 44 173
143 玆 44 173
