#小韻序 字 聲調 韻部 聲紐 韻母 四呼
1 東冬 陰平 東鐘 端 東鍾合 合口
2 鍾鐘中忠衷終 陰平 東鐘 照 東鍾合 合口
3 通蓪 陰平 東鐘 透 東鍾合 合口
4 松嵩 陰平 東鐘 心 東鍾撮 撮口
5 冲充衝舂忡摏艟䂌翀种 陰平 東鐘 穿 東鍾合 合口
6 邕嗈雍 陰平 東鐘 影 東鍾撮 撮口
7 空悾 陰平 東鐘 溪 東鍾合 合口
8 宗椶騣 陰平 東鐘 精 東鍾合 合口
9 風楓豐封葑峯鋒烽丰蜂 陰平 東鐘 非 東鍾合 合口
10 鬆憁 陰平 東鐘 心 東鍾合 合口
11 匆蔥聰驄囱 陰平 東鐘 清 東鍾合 合口
12 蹤縱樅 陰平 東鐘 精 東鍾撮 撮口
13 穹芎傾 陰平 東鐘 溪 東鍾撮 撮口
14 工功攻公蚣弓躬恭宮龔供肱觥 陰平 東鐘 見 東鍾合 合口
15 烘叿轟薨 陰平 東鐘 曉 東鍾合 合口
16 凶兇胷洶兄 陰平 東鐘 曉 東鍾撮 撮口
17 翁𨎃癰廱壅泓 陰平 東鐘 影 東鍾合 合口
18 崩繃 陰平 東鐘 幫 東鍾合 合口
19 烹 陰平 東鐘 滂 東鍾合 合口
20 同筒銅桐峒童僮橦瞳曈潼鼕 陽平 東鐘 透 東鍾合 合口
21 戎茙駥絨㲨茸 陽平 東鐘 日 東鍾撮 撮口
22 龍隆癃窿 陽平 東鐘 來 東鍾撮 撮口
23 窮藭蛩邛筇 陽平 東鐘 溪 東鍾撮 撮口
24 籠曨朧櫳瓏豅礱聾嚨 陽平 東鐘 來 東鍾合 合口
25 膿農儂 陽平 東鐘 泥 東鍾合 合口
26 濃穠醲 陽平 東鐘 泥 東鍾撮 撮口
27 重蟲慵𦄢崇 陽平 東鐘 穿 東鍾合 合口
28 馮逢縫 陽平 東鐘 非 東鍾合 合口
29 叢䕺琮 陽平 東鐘 清 東鍾合 合口
30 熊雄 陽平 東鐘 曉 東鍾撮 撮口
31 容溶蓉瑢鎔庸傭鄘鏞墉融榮 陽平 東鐘 影 東鍾撮 撮口
32 蒙濛朦矇甍盲瞢萌 陽平 東鐘 明 東鍾合 合口
33 紅谼虹哄鴻宏綋橫嶸弘 陽平 東鐘 曉 東鍾合 合口
34 蓬篷芃髼彭棚鵬 陽平 東鐘 滂 東鍾合 合口
35 從 陽平 東鐘 清 東鍾撮 撮口
36 董懂 上 東鐘 端 東鍾合 合口
37 腫踵種冢 上 東鐘 照 東鍾合 合口
38 孔恐 上 東鐘 溪 東鍾合 合口
39 桶統 上 東鐘 透 東鍾合 合口
40 汞嗊 上 東鐘 曉 東鍾合 合口
41 隴壠 上 東鐘 來 東鍾撮 撮口
42 篢攏 上 東鐘 來 東鍾合 合口
43 洶詾 上 東鐘 曉 東鍾撮 撮口
44 聳竦 上 東鐘 心 東鍾撮 撮口
45 拱鞏珙 上 東鐘 見 東鍾合 合口
46 勇擁涌踊悀永俑 上 東鐘 影 東鍾撮 撮口
47 蠓懵猛艋蜢 上 東鐘 明 東鍾合 合口
48 總 上 東鐘 精 東鍾合 合口
49 捧 上 東鐘 非 東鍾合 合口
50 寵 上 東鐘 穿 東鍾合 合口
51 冗 上 東鐘 日 東鍾撮 撮口
52 噥 上 東鐘 泥 東鍾合 合口
53 唪 上 東鐘 滂 東鍾合 合口
54 洞動棟凍蝀 去 東鐘 端 東鍾合 合口
55 鳳奉諷縫 去 東鐘 非 東鍾合 合口
56 貢共供 去 東鐘 見 東鍾合 合口
57 宋送 去 東鐘 心 東鍾合 合口
58 弄哢礱 去 東鐘 來 東鍾合 合口
59 控空鞚 去 東鐘 溪 東鍾合 合口
60 誦訟頌 去 東鐘 心 東鍾撮 撮口
61 甕𪖵𩌋 去 東鐘 影 東鍾合 合口
62 痛慟 去 東鐘 透 東鍾合 合口
63 衆中仲重種 去 東鐘 照 東鍾合 合口
64 縱從粽 去 東鐘 精 東鍾撮 撮口
65 夢孟 去 東鐘 明 東鍾合 合口
66 用詠瑩 去 東鐘 影 東鍾撮 撮口
67 哄閧橫 去 東鐘 曉 東鍾合 合口
68 綜 去 東鐘 精 東鍾合 合口
69 迸 去 東鐘 幫 東鍾合 合口
70 銃 去 東鐘 穿 東鍾合 合口
71 姜江杠釭薑疆韁䗵僵 陰平 江陽 見 江陽齊 齊齒
72 邦挷幫 陰平 江陽 幫 江陽開 開口
73 桑喪 陰平 江陽 心 江陽開 開口
74 雙艭霜孀鸘驦 陰平 江陽 審 江陽合 合口
75 章漳獐樟璋彰麞張 陰平 江陽 照 江陽開 開口
76 商傷殤觴湯 陰平 江陽 審 江陽開 開口
77 漿螿將 陰平 江陽 精 江陽齊 齊齒
78 莊粧裝樁 陰平 江陽 照 江陽合 合口
79 岡剛鋼綱缸扛玒亢 陰平 江陽 見 江陽開 開口
80 康糠 陰平 江陽 溪 江陽開 開口
81 光胱 陰平 江陽 見 江陽合 合口
82 當璫簹襠鐺 陰平 江陽 端 江陽開 開口
83 荒𥡃肓 陰平 江陽 曉 江陽合 合口
84 香鄉 陰平 江陽 曉 江陽齊 齊齒
85 鎊滂䨦 陰平 江陽 滂 江陽開 開口
86 腔谾蜣羌 陰平 江陽 溪 江陽齊 齊齒
87 鴦央殃秧泱 陰平 江陽 影 江陽齊 齊齒
88 方芳枋妨坊肪 陰平 江陽 非 江陽開 開口
89 昌猖娼菖閶 陰平 江陽 穿 江陽開 開口
90 湯鏜 陰平 江陽 透 江陽開 開口
91 湘廂相箱襄瓖 陰平 江陽 心 江陽齊 齊齒
92 槍鏘蹡 陰平 江陽 清 江陽齊 齊齒
93 匡筐眶 陰平 江陽 溪 江陽合 合口
94 汪尪 陰平 江陽 影 江陽合 合口
95 倉蒼 陰平 江陽 清 江陽開 開口
96 牎瘡 陰平 江陽 穿 江陽合 合口
97 贓臧 陰平 江陽 精 江陽開 開口
98 陽揚楊暘昜颺羊徉洋佯 陽平 江陽 影 江陽齊 齊齒
99 忙茫邙芒鋩杗狵厖 陽平 江陽 明 江陽開 開口
100 粮良綡涼輬梁粱量 陽平 江陽 來 江陽齊 齊齒
101 穰欀瀼瓤 陽平 江陽 日 江陽開 開口
